mm_id,BSEID,NSEID,Industry,Mojo,Name,financial,quality,technical,valuation
288379,590086,ORISSAMINE,Miscellaneous,Not Rated,OMDC,Negative,Does not qualify,Negative,Risky
842422,522295,CONTROLPR,Miscellaneous,Hold,Control Print,Flat,Good,Flat,Very Attractive
1002630,540073,BLS,Miscellaneous,Sell,BLS Internatl.Serv,Flat,Average,Flat,Very Attractive
154225,534597,RTNINFRA,Miscellaneous,Not Rated,RattanIndia Infra,Flat,Does not qualify,Flat,Risky
370833,539334,SHREEPUSHK,Miscellaneous,Strong Sell,Shree Pushkar Chem,Negative,Average,Negative,Fair
790785,526951,0,Miscellaneous,Sell,Stylam Industries,Flat,Average,Flat,Very Attractive
407518,532054,KDDL,Miscellaneous,Strong Sell,KDDL,Very Negative,Average,Very Negative,Very Attractive
506599,532320,0,Miscellaneous,Not Rated,Vaarad Ventures,Flat,Does not qualify,Flat,Risky
676205,531412,0,Miscellaneous,Not Rated,Radix Industries (I),Flat,Does not qualify,Flat,Does not qualify
980548,526544,0,Miscellaneous,Not Rated,Scanpoint Geomatics,Positive,Does not qualify,Positive,Does not qualify
1002636,540006,0,Miscellaneous,Strong Sell,East West Holdings,Negative,Below Average,Negative,Does not qualify
470724,539400,0,Miscellaneous,Sell,Mallcom,Flat,Average,Flat,Does not qualify
107684,539143,0,Miscellaneous,Not Rated,Panth Infinity,Flat,Does not qualify,Flat,Does not qualify
1003100,542367,XELPMOC,Miscellaneous,Not Rated,Xelpmoc Design,Flat,Does not qualify,Flat,Does not qualify
1003379,542933,UNIVPHOTO,Miscellaneous,Not Rated,Universus Photo,,Does not qualify,,Does not qualify
797306,500267,MAJESAUTO,Miscellaneous,Strong Sell,Majestic Auto,Very Negative,Below Average,Very Negative,Does not qualify
1002854,540729,0,Miscellaneous,Not Rated,Vanta Bioscience,,Below Average,,Does not qualify
463378,535621,0,Miscellaneous,Not Rated,SV Global Mill,Flat,Does not qualify,Flat,Does not qualify
771606,539151,0,Miscellaneous,Not Rated,Arfin India,Negative,Does not qualify,Negative,Does not qualify
719421,533296,FMNL,Miscellaneous,Strong Sell,Future MarketNetwork,Negative,Below Average,Negative,Does not qualify
1003283,542850,NULL,Miscellaneous,Not Rated,Goblin India,,Does not qualify,,Does not qualify
1000380,539927,0,Miscellaneous,Not Rated,Likhami Consulting,Flat,Does not qualify,Flat,Does not qualify
371719,501827,0,Miscellaneous,Not Rated,Central Provinces,Flat,Does not qualify,Flat,Does not qualify
921329,533289,KTIL,Miscellaneous,Not Rated,Kesar Terminal&Infra,Flat,Does not qualify,Flat,Does not qualify
736752,520081,ESTCSTSTEL,Miscellaneous,Strong Sell,Eastcoast Steel,Flat,Below Average,Flat,Does not qualify
876964,522229,TANEJAERO,Miscellaneous,Not Rated,Taneja Aerospace,Positive,Does not qualify,Positive,Does not qualify
975611,538928,0,Miscellaneous,Not Rated,Karnavati Finance,Flat,Does not qualify,Flat,Does not qualify
1002633,539956,0,Miscellaneous,Not Rated,TAAL Enterprises,Negative,Does not qualify,Negative,Does not qualify
590303,509077,PRESSMN,Miscellaneous,Not Rated,Pressman Advertising,Negative,Does not qualify,Negative,Does not qualify
712363,505693,0,Miscellaneous,Strong Sell,LA TIM Metal & Inds.,Negative,Below Average,Negative,Does not qualify
302673,539132,0,Miscellaneous,Not Rated,Vegetable Products,Positive,Does not qualify,Positive,Does not qualify
1003376,542924,,Miscellaneous,Not Rated,Janus Corporati.,,Does not qualify,,Does not qualify
481138,539354,0,Miscellaneous,Not Rated,Polyspin Exports,Negative,Does not qualify,Negative,Does not qualify
761166,524488,ATVPETRO,Miscellaneous,Not Rated,SVC Industries,Flat,Does not qualify,Flat,Does not qualify
566287,505029,ATLASCYCLE,Miscellaneous,Not Rated,Atlas Cycle(Haryana),Negative,Does not qualify,Negative,Does not qualify
142461,540904,0,Miscellaneous,Not Rated,Tirupati Foam,Negative,Does not qualify,Negative,Does not qualify
980001,504392,0,Miscellaneous,Not Rated,Krishna Ventures,Flat,Does not qualify,Flat,Does not qualify
744805,526849,BANARBEADS,Miscellaneous,Not Rated,Banaras Beads,Positive,Does not qualify,Positive,Does not qualify
667192,538794,0,Miscellaneous,Not Rated,Jet Infraventure,,Below Average,,Does not qualify
999990,539410,0,Miscellaneous,Not Rated,Welcon International,Flat,Does not qualify,Flat,Does not qualify
389546,540143,0,Miscellaneous,Not Rated,Sagarsoft (India),Negative,Does not qualify,Negative,Does not qualify
508523,519415,0,Miscellaneous,Not Rated,KMG Milk Food,Flat,Does not qualify,Flat,Does not qualify
608140,534732,0,Miscellaneous,Not Rated,Intellivate Cap.Adv,Flat,Does not qualify,Flat,Does not qualify
1002637,539991,0,Miscellaneous,Not Rated,Confidence Futurist.,Flat,Does not qualify,Flat,Does not qualify
1002907,540843,0,Miscellaneous,Not Rated,Rithwik Facility Mgm,,Below Average,,Does not qualify
274315,533427,0,Miscellaneous,Not Rated,VMS Industries,Negative,Does not qualify,Negative,Does not qualify
1003094,542233,TREJHARA,Miscellaneous,Not Rated,Trejhara Solutions,Negative,Does not qualify,Negative,Does not qualify
946545,538765,0,Miscellaneous,Not Rated,JLA Infraville,,Below Average,,Does not qualify
437783,537840,0,Miscellaneous,Not Rated,Raunaq EPC Internatl,Negative,Does not qualify,Negative,Does not qualify
374859,501370,0,Miscellaneous,Not Rated,Walchand People,Flat,Does not qualify,Flat,Does not qualify
263497,512257,0,Miscellaneous,Not Rated,Swasti Vinayaka Art,Negative,Does not qualify,Negative,Does not qualify
682607,523888,0,Miscellaneous,Strong Sell,VR Woodart,Flat,Below Average,Flat,Does not qualify
1002706,540259,0,Miscellaneous,Not Rated,Shangar Decor,Flat,Does not qualify,Flat,Does not qualify
840092,531153,0,Miscellaneous,Not Rated,Diligent Industries,Flat,Does not qualify,Flat,Does not qualify
980320,538817,0,Miscellaneous,Not Rated,Captain Pipes,,Below Average,,Does not qualify
520293,532624,JINDALPHOT,Miscellaneous,Not Rated,Jindal Photo,Flat,Does not qualify,Flat,Does not qualify
807556,539120,0,Miscellaneous,Not Rated,Bangalore Fort Farms,Flat,Does not qualify,Flat,Does not qualify
471111,526225,0,Miscellaneous,Strong Sell,Bloom Dekor,Flat,Below Average,Flat,Does not qualify
841797,530213,0,Miscellaneous,Strong Sell,Fortune Intl,Flat,Below Average,Flat,Does not qualify
1003039,541771,0,Miscellaneous,Not Rated,Amin Tannery,Flat,Does not qualify,Flat,Does not qualify
433373,539223,0,Miscellaneous,Not Rated,Ambition Mica,Negative,Does not qualify,Negative,Does not qualify
314078,539229,0,Miscellaneous,Not Rated,Majestic Res. Serv.,,Below Average,,Does not qualify
978430,539117,0,Miscellaneous,Not Rated,Sujala Trading &Hold,Flat,Does not qualify,Flat,Does not qualify
1002868,540756,0,Miscellaneous,Not Rated,Kaarya Facilities,,Below Average,,Does not qualify
758924,526588,0,Miscellaneous,Not Rated,Photoquip India,Negative,Does not qualify,Negative,Does not qualify
515837,530057,0,Miscellaneous,Not Rated,Vivanza Biosciences,Flat,Does not qualify,Flat,Does not qualify
230710,515059,MADSUDIND,Miscellaneous,Not Rated,Madhusudan Inds,Flat,Does not qualify,Flat,Does not qualify
862497,531673,0,Miscellaneous,Not Rated,Anka India,Flat,Does not qualify,Flat,Does not qualify
310508,506159,0,Miscellaneous,Strong Sell,Asis Logistics,Flat,Below Average,Flat,Does not qualify
1000004,539661,0,Miscellaneous,Not Rated,ACE Men Engg Works,Flat,Does not qualify,Flat,Does not qualify
322502,524590,0,Miscellaneous,Not Rated,Hemo Organic,Positive,Does not qualify,Positive,Does not qualify
843775,526067,0,Miscellaneous,Not Rated,KCCL Plastic,,Below Average,,Does not qualify
147926,530427,,Miscellaneous,Not Rated,Choksi Imaging,Flat,Does not qualify,Flat,Does not qualify
463235,503863,0,Miscellaneous,Strong Sell,Shree Manufacturing,Flat,Below Average,Flat,Does not qualify
540756,526576,TECHIN,Miscellaneous,Not Rated,TechIndia Nirman,Flat,Does not qualify,Flat,Does not qualify
1002651,540071,0,Miscellaneous,Not Rated,Camson Seeds,Negative,Does not qualify,Negative,Does not qualify
852808,526711,0,Miscellaneous,Sell,Adarsh Plant Protect,Positive,Below Average,Positive,Does not qualify
761924,530997,0,Miscellaneous,Not Rated,Unique Organics,Flat,Does not qualify,Flat,Does not qualify
748898,538861,0,Miscellaneous,Not Rated,Amsons Apparels,Flat,Does not qualify,Flat,Does not qualify
1002924,540945,0,Miscellaneous,Not Rated,Focus Suites Sol,,Below Average,,Does not qualify
938537,536709,0,Miscellaneous,Not Rated,Ind Renewable Energy,Flat,Does not qualify,Flat,Does not qualify
999382,532217,0,Miscellaneous,Strong Sell,SIEL Financial Serv.,Flat,Below Average,Flat,Does not qualify
528432,539014,0,Miscellaneous,Not Rated,Kalpa commercial,,Below Average,,Does not qualify
445580,533048,GISOLUTION,Miscellaneous,Not Rated,GI Engineering Soln.,Flat,Does not qualify,Flat,Does not qualify
364572,512036,0,Miscellaneous,Not Rated,Kapil Cotex,Flat,Does not qualify,Flat,Does not qualify
636004,538674,0,Miscellaneous,Not Rated,City Online Services,Flat,Does not qualify,Flat,Does not qualify
473249,519299,0,Miscellaneous,Not Rated,Prime Industries,Flat,Does not qualify,Flat,Does not qualify
184341,534920,0,Miscellaneous,Strong Sell,Covidh Technologies,Flat,Below Average,Flat,Does not qualify
243856,531668,0,Miscellaneous,Not Rated,Vision Corporation,Flat,Does not qualify,Flat,Does not qualify
1002657,540081,SABEVENTS,Miscellaneous,Not Rated,SAB Events & Governa,Flat,Does not qualify,Flat,Does not qualify
674875,506365,0,Miscellaneous,Not Rated,Chemo Pharma Labs,Flat,Does not qualify,Flat,Does not qualify
307934,509563,0,Miscellaneous,Not Rated,Garware Marine Ind.,Flat,Does not qualify,Flat,Does not qualify
263241,531327,0,Miscellaneous,Not Rated,Charms Inds,Positive,Does not qualify,Positive,Does not qualify
674238,539169,0,Miscellaneous,Not Rated,Funny Software,Flat,Does not qualify,Flat,Does not qualify
530936,531112,0,Miscellaneous,Not Rated,Amaze Entertech,Flat,Does not qualify,Flat,Does not qualify
544810,513452,0,Miscellaneous,Not Rated,Elango Inds,Flat,Does not qualify,Flat,Does not qualify
753460,500394,0,Miscellaneous,Sell,Solid Carbide Tools,Positive,Below Average,Positive,Does not qualify
1003047,541890,0,Miscellaneous,Not Rated,Space Incubatrics,Flat,Does not qualify,Flat,Does not qualify
1002877,0,PULZ,Miscellaneous,Not Rated,Pulz Electronics,,Below Average,,Does not qualify
974725,0,SIIL,Miscellaneous,Not Rated,Supreme (I) Impex,,Below Average,,Does not qualify
480970,0,MITCON,Miscellaneous,Not Rated,Mitcon Consultancy,,Below Average,,Does not qualify
1003123,541300,INDINFR,Miscellaneous,Not Rated,IndInfravit Trust,,Does not qualify,,Risky
1002831,0,RMDRIP,Miscellaneous,Not Rated,RM Drip and Sprinkle,,Below Average,,Does not qualify
1002661,0,AVSL,Miscellaneous,Not Rated,AVSL Industries,,Below Average,,Does not qualify
623933,0,OPAL,Miscellaneous,Not Rated,Opal Luxury Time,,Below Average,,Does not qualify
999928,0,HUSYSLTD,Miscellaneous,Not Rated,Husys Consulting,,Below Average,,Does not qualify
736806,509650,0,Miscellaneous,Not Rated,Hindustan Housing Co,Flat,Does not qualify,Flat,Does not qualify
1002875,0,SECURCRED,Miscellaneous,Not Rated,SecUR Credentials,,Below Average,,Does not qualify
1002876,0,AISL,Miscellaneous,Not Rated,ANI Integrated Serv.,,Below Average,,Does not qualify
999967,0,MHHL,Miscellaneous,Not Rated,Mohini Health&Hygien,,Below Average,,Does not qualify
1002655,0,CROWN,Miscellaneous,Not Rated,Crown Lifters,,Below Average,,Does not qualify
357300,0,3RDROCK,Miscellaneous,Not Rated,3rd Rock Multimedia,,Does not qualify,,Does not qualify
472639,531692,0,Miscellaneous,Not Rated,Khyati MultimediaEnt,Flat,Does not qualify,Flat,Does not qualify
1002881,0,VERTOZ,Miscellaneous,Not Rated,Vertoz Advertising,,Below Average,,Risky
1002845,0,AARVI,Miscellaneous,Not Rated,Aarvi Encon,,Below Average,,Does not qualify
1002902,0,TOUCHWOOD,Miscellaneous,Not Rated,Touchwood Entertainm,,Below Average,,Does not qualify
190789,538653,0,Miscellaneous,Not Rated,Ejecta Marketing,Flat,Does not qualify,Flat,Does not qualify
1002958,0,KAPSTON,Miscellaneous,Not Rated,Kapston Facilities,,Below Average,,Does not qualify
1003005,0,PRITI,Miscellaneous,Not Rated,Priti International,,Below Average,,Does not qualify
1002888,0,FELIX,Miscellaneous,Not Rated,Felix Industries,,Below Average,,Does not qualify
528940,0,SPCENET,Miscellaneous,Strong Sell,Spacenet Enterprises,Flat,Below Average,Flat,Does not qualify
328541,533203,TARAPUR,Miscellaneous,Not Rated,Tarapur Transformers,Flat,Does not qualify,Flat,Does not qualify
369538,538920,0,Miscellaneous,,Spaceage Products,Flat,Does not qualify,Flat,Does not qualify
434071,519174,0,Miscellaneous,Not Rated,Ashiana Agro,Positive,Does not qualify,Positive,Does not qualify
948699,524715,SUNPHARMA,Pharma,Sell,Sun Pharma Inds.,Positive,Average,Positive,Attractive
734514,500124,DRREDDY,Pharma,Hold,Dr. Reddys Lab,Negative,Average,Negative,Attractive
509760,532488,DIVISLAB,Pharma,Hold,Divis Lab,Flat,Good,Flat,Very Expensive
597145,500087,CIPLA,Pharma,Sell,Cipla,Flat,Average,Flat,Attractive
201791,532523,BIOCON,Pharma,Hold,Biocon,Flat,Good,Flat,Very Expensive
317368,500420,TORNTPHARM,Pharma,Hold,Torrent Pharma,Positive,Good,Positive,Very Expensive
919728,500488,ABBOTINDIA,Pharma,Buy,Abbott India,Very Positive,Good,Very Positive,Very Expensive
290229,532321,CADILAHC,Pharma,Hold,Cadila Healthcare,Negative,Good,Negative,Expensive
1000019,539523,ALKEM,Pharma,Hold,Alkem Laboratories,Positive,Good,Positive,Fair
641789,500257,LUPIN,Pharma,Strong Sell,Lupin,Negative,Good,Negative,Very Expensive
164981,524804,AUROPHARMA,Pharma,Sell,Aurobindo Pharma,Flat,Good,Flat,Attractive
497388,500302,PEL,Pharma,Sell,Piramal Enterprises,Positive,Average,Positive,Attractive
793005,500660,GLAXO,Pharma,Sell,Glaxosmithkline Phar,Negative,Good,Negative,Expensive
970356,500680,PFIZER,Pharma,Hold,Pfizer,Flat,Good,Flat,Expensive
950228,524494,IPCALAB,Pharma,Hold,Ipca Laboratories,Positive,Average,Positive,Attractive
664761,500674,SANOFI,Pharma,Hold,Sanofi India,Positive,Good,Positive,Fair
178818,532331,AJANTPHARM,Pharma,Hold,Ajanta Pharma,Flat,Good,Flat,Expensive
807696,533573,APLLTD,Pharma,Hold,Alembic Pharma,Flat,Good,Flat,Very Attractive
197397,539268,SYNGENE,Pharma,Sell,Syngene Internation.,Flat,Good,Flat,Very Expensive
156274,524816,NATCOPHARM,Pharma,Hold,Natco Pharma,Negative,Good,Negative,Attractive
696114,531335,ZYDUSWELL,Pharma,Sell,Zydus Wellness,Flat,Good,Flat,Very Expensive
346859,500126,PGHL,Pharma,Hold,Procter&Gamble Healt,Positive,Excellent,Positive,Very Expensive
777011,506820,ASTRAZEN,Pharma,Hold,Astrazeneca Pharma I,Positive,Average,Positive,Very Expensive
780863,532296,GLENMARK,Pharma,Sell,Glenmark Pharma,Flat,Good,Flat,Attractive
1002771,540596,ERIS,Pharma,Sell,Eris Lifesciences,Negative,Good,Negative,Attractive
1003386,543064,SUVENPHAR,Pharmaceuticals & Drugs,Not Rated,Suven Pharma,Flat,Does not qualify,Flat,Does not qualify
525933,530019,JUBILANT,Pharma,Sell,Jubilant LifeScience,Flat,Good,Flat,Very Attractive
461857,506943,JBCHEPHARM,Pharma,Hold,JB Chem & Pharma,Positive,Good,Positive,Fair
580033,532482,GRANULES,Pharma,Hold,Granules India,Positive,Average,Positive,Attractive
1002699,540222,LAURUSLABS,Pharma,Hold,Laurus Labs,Outstanding,Average,Outstanding,Very Expensive
248455,531599,FDC,Pharma,Hold,FDC,Very Positive,Average,Very Positive,Fair
688428,532531,STAR,Pharma,Sell,Strides Pharma Scien,Flat,Below Average,Flat,Very Attractive
739743,532872,SPARC,Pharma,Strong Sell,Sun Pharma Adv. Res,Negative,Below Average,Negative,Risky
780523,530549,SHILPAMED,Pharma,Hold,Shilpa Medicare,Positive,Average,Positive,Very Expensive
640544,524742,CAPLIPOINT,Pharma,Sell,Caplin Point Lab,Positive,Average,Positive,Fair
256229,532300,WOCKPHARMA,Pharma,Strong Sell,Wockhardt,Flat,Below Average,Flat,Expensive
213056,512529,SEQUENT,Pharma,Hold,Sequent Scientific,Positive,Average,Positive,Expensive
601817,532612,INDOCO,Pharma,Sell,Indoco Remedies,Positive,Below Average,Positive,Very Expensive
333626,500672,NOVARTIND,Pharma,Strong Sell,Novartis,Very Negative,Average,Very Negative,Expensive
1002678,540145,0,Pharma,Not Rated,Valiant Organics,,Below Average,,Risky
657348,524348,AARTIDRUGS,Pharma,Hold,Aarti Drugs,Positive,Average,Positive,Attractive
1003017,541540,SOLARA,Pharma,Hold,Solara Active Pharma,Very Positive,Average,Very Positive,Fair
730684,506197,BLISSGVS,Pharma,Strong Sell,Bliss GVS Pharma,Negative,Average,Negative,Attractive
1002833,540701,DCAL,Pharma,Strong Sell,Dishman Carbogen Amc,Negative,Average,Negative,Expensive
270205,506690,UNICHEMLAB,Pharma,Sell,Unichem Lab,Flat,Average,Flat,Risky
919204,506235,ALEMBICLTD,Pharma,Strong Sell,Alembic,Negative,Average,Negative,Very Expensive
149140,590006,AMRUTANJAN,Pharma,Buy,Amrutanjan Healthcar,Positive,Good,Positive,Very Attractive
175814,524735,HIKAL,Pharma,Sell,Hikal,Flat,Average,Flat,Very Attractive
324228,524669,HESTERBIO,Pharma,Strong Sell,Hester Biosciences,Negative,Average,Negative,Very Expensive
622974,531349,PANACEABIO,Pharma,Strong Sell,Panacea Biotec,Negative,Below Average,Negative,Risky
604869,524404,MARKSANS,Pharma,Sell,Marksans Pharma,Positive,Average,Positive,Attractive
685542,507747,TTKHLTCARE,Pharma,Sell,TTK Healthcare,Negative,Average,Negative,Very Attractive
546345,500288,MOREPENLAB,Pharma,Sell,Morepen Laboratories,Positive,Average,Positive,Attractive
229993,524558,NEULANDLAB,Pharma,Sell,Neuland Laboratories,Very Positive,Average,Very Positive,Expensive
338998,509079,GUFICBIO,Pharma,Sell,Gufic Biosciences,Flat,Good,Flat,Very Attractive
1002590,539872,0,Pharma,Hold,Bajaj Healthcare,Flat,Average,Flat,Attractive
905552,506260,0,Pharma,Hold,Anuh Pharma,Flat,Good,Flat,Fair
456242,532983,RPGLIFE,Pharma,Buy,RPG Life Sciences,Positive,Good,Positive,Very Attractive
588414,530239,SUVEN,Pharma,Hold,Suven Life Sciences,Flat,Good,Flat,Very Expensive
294056,531633,LINCOLN,Pharma,Sell,Lincoln Pharma,Flat,Good,Flat,Very Attractive
770569,531146,0,Pharma,Sell,Medicamen Biotech,Positive,Average,Positive,Very Attractive
517655,532815,SMSPHARMA,Pharma,Sell,SMS Pharmaceuticals,Negative,Average,Negative,Very Attractive
216478,532649,NECLIFE,Pharma,Strong Sell,Nectar Lifesciences,Flat,Below Average,Flat,Attractive
469937,530199,THEMISMED,Pharma,Sell,Themis Medicare,Very Positive,Below Average,Very Positive,Expensive
